age,gender,weight (KG),height (CM),BMI,daily steps,heart rate (BPM),calories burned
33,F,72,179,22.47,4741,103,431
38,F,72,165,26.45,4785,82,435
28,F,62,163,23.34,4995,98,454
59,F,62,181,18.92,5196,104,472
58,F,52,179,16.23,4768,90,433
39,M,62,157,25.15,5157,100,469
30,F,72,161,27.78,4570,77,415
31,F,62,155,25.81,4975,75,452
58,M,62,176,20.02,5262,101,478
44,M,72,169,25.21,5160,82,469
54,M,52,185,15.19,5308,78,483
58,F,52,176,16.79,5015,93,456
26,M,62,168,21.97,4506,87,410
27,F,62,168,21.97,5673,77,516
49,M,72,160,28.13,5484,83,499
33,F,72,156,29.59,4976,63,452
52,M,72,163,27.1,5662,74,515
32,M,52,161,20.06,5367,85,488
42,M,52,156,21.37,4581,89,416
38,F,62,157,25.15,4742,103,431
45,F,72,169,25.21,5168,102,470
28,M,72,177,22.98,5914,89,538
35,M,72,170,24.91,5472,102,497
35,F,52,164,19.33,5836,61,531
52,M,62,157,25.15,5637,71,512
44,F,62,167,22.23,4568,79,415
60,M,62,178,19.57,4929,93,448
48,M,72,178,22.72,5611,96,510
55,M,62,162,23.62,5226,91,475
48,M,72,161,27.78,4808,88,437
58,M,72,178,22.72,5272,82,479
28,M,62,175,20.24,5363,96,488
38,F,62,156,25.48,5921,65,538
39,M,72,161,27.78,4976,91,452
52,M,62,170,21.45,5963,65,542
60,M,72,185,21.04,4861,76,442
49,F,62,179,19.35,5254,81,478
42,M,62,164,23.05,5816,102,529
55,F,52,158,20.83,4557,74,414
50,M,62,163,23.34,4952,105,450
42,F,52,167,18.65,4611,104,419
27,M,72,177,22.98,5827,83,530
40,F,52,177,16.6,5330,91,485
56,M,62,166,22.5,5531,67,503
41,M,52,181,15.87,5182,77,471
41,M,72,172,24.34,5000,81,455
35,M,52,161,20.06,4585,75,417
38,M,62,168,21.97,5663,92,515
26,M,62,155,25.81,5380,86,489
34,F,72,164,26.77,5145,68,468
52,M,72,172,24.34,5292,101,481
60,M,52,155,21.64,5199,70,473
45,M,72,172,24.34,5515,62,501
36,F,72,161,27.78,5194,75,472
42,M,52,183,15.53,5124,103,466
20,M,52,167,18.65,4957,67,451
38,M,62,155,25.81,5208,89,473
30,M,72,181,21.98,4911,92,446
53,M,72,161,27.78,5966,73,542
54,F,62,180,19.14,5281,102,480
34,F,72,178,22.72,5899,77,536
60,F,72,158,28.84,4782,70,435
57,M,72,164,26.77,5628,76,512
41,M,52,166,18.87,4624,96,420
36,M,72,182,21.74,4768,85,433
53,M,72,163,27.1,4729,89,430
32,M,72,185,21.04,4785,91,435
53,F,62,170,21.45,5685,79,517
25,F,72,157,29.21,4572,105,416
32,F,52,185,15.19,4817,67,438
44,F,62,166,22.5,5740,92,522
20,F,72,161,27.78,4593,96,418
54,M,72,177,22.98,4911,67,446
34,F,72,182,21.74,5948,84,541
21,M,62,173,20.72,5506,73,501
33,M,72,182,21.74,5024,97,457
26,F,62,166,22.5,4913,98,447
21,M,62,167,22.23,5242,86,477
29,M,62,175,20.24,4784,71,435
23,F,52,158,20.83,5702,95,518
46,F,72,156,29.59,4874,82,443
53,F,62,171,21.2,5076,80,461
33,M,62,165,22.77,4796,66,436
22,F,62,155,25.81,4596,94,418
36,F,72,179,22.47,4966,94,451
32,M,62,160,24.22,5865,68,533
25,M,52,177,16.6,5423,92,493
23,M,72,178,22.72,4674,95,425
54,F,62,177,19.79,4834,78,439
39,M,72,162,27.43,5223,82,475
56,F,62,174,20.48,5685,62,517
54,M,52,158,20.83,5967,62,542
36,F,52,185,15.19,5618,84,511
38,M,72,165,26.45,4598,76,418
60,M,52,182,15.7,5712,93,519
47,M,72,183,21.5,5660,94,515
57,F,52,181,15.87,5520,90,502
56,F,72,168,25.51,4675,75,425
47,M,52,157,21.1,5791,77,526
20,M,52,181,15.87,5002,101,455
51,F,72,175,23.51,5967,65,542
51,M,72,157,29.21,5739,99,522
23,M,72,168,25.51,5595,91,509
39,M,62,161,23.92,4669,105,424
23,M,72,185,21.04,4720,72,429
33,M,62,161,23.92,4619,98,420
42,M,62,165,22.77,5200,101,473
42,F,72,180,22.22,5612,105,510
59,M,72,169,25.21,5165,99,470
40,F,72,159,28.48,4672,92,425
58,M,72,174,23.78,5538,100,503
36,M,62,177,19.79,5086,87,462
55,M,52,177,16.6,5070,91,461
27,F,62,173,20.72,4649,75,423
48,M,52,179,16.23,4775,91,434
50,F,72,164,26.77,5285,64,480
29,M,72,175,23.51,5105,99,464
54,F,62,157,25.15,5062,85,460
33,M,52,184,15.36,5166,87,470
25,M,62,163,23.34,5658,62,514
23,M,62,173,20.72,5841,67,531
30,F,52,179,16.23,5750,73,523
36,M,72,158,28.84,5413,87,492
24,F,72,175,23.51,5148,99,468
41,F,62,164,23.05,5624,82,511
29,F,62,176,20.02,5995,94,545
24,F,72,172,24.34,5069,83,461
37,M,62,165,22.77,5938,86,540
49,F,52,164,19.33,5339,67,485
32,M,52,178,16.41,4523,92,411
39,F,52,179,16.23,5952,71,541
45,F,62,166,22.5,5848,61,532
29,M,72,172,24.34,4653,94,423
48,M,62,183,18.51,4997,90,454
40,M,62,157,25.15,5091,105,463
37,M,52,167,18.65,5996,71,545
57,F,62,158,24.84,5221,102,475
60,F,62,162,23.62,5067,78,461
43,F,52,183,15.53,5737,84,522
27,F,72,180,22.22,5284,85,480
52,F,72,173,24.06,4888,61,444
48,M,52,175,16.98,4859,99,442
44,F,62,184,18.31,5902,92,537
43,F,62,181,18.92,4759,61,433
30,M,62,170,21.45,5755,79,523
38,F,72,180,22.22,4541,76,413
28,M,62,168,21.97,5313,66,483
46,M,52,179,16.23,5145,90,468
44,F,52,165,19.1,5530,103,503
25,F,62,163,23.34,4844,73,440
59,M,72,161,27.78,5106,100,464
55,F,62,164,23.05,5100,86,464
49,F,62,184,18.31,5807,64,528
37,F,62,179,19.35,5749,80,523
36,M,72,163,27.1,5250,95,477
52,M,62,171,21.2,5936,104,540
35,M,72,175,23.51,5362,85,487
48,M,52,162,19.81,4896,62,445
53,M,72,168,25.51,5885,70,535
46,M,72,175,23.51,5300,66,482
49,F,62,177,19.79,5327,63,484
50,M,52,177,16.6,5499,86,500
24,F,72,171,24.62,4984,67,453
25,F,52,184,15.36,5417,94,492
46,F,52,183,15.53,5827,94,530
48,F,52,183,15.53,5399,74,491
35,M,72,180,22.22,5266,89,479
36,F,62,169,21.71,5363,86,488
42,F,72,172,24.34,5083,98,462
20,M,52,169,18.21,5785,98,526
56,M,72,166,26.13,4770,93,434
50,M,72,177,22.98,4770,91,434
37,F,62,170,21.45,5888,95,535
55,F,52,176,16.79,5524,82,502
22,M,62,174,20.48,4835,91,440
59,F,72,183,21.5,4535,90,412
49,F,52,178,16.41,5311,65,483
39,M,52,182,15.7,5497,93,500
20,F,52,179,16.23,4773,83,434
28,M,72,185,21.04,5387,93,490
51,F,72,172,24.34,5735,85,521
33,M,62,168,21.97,4994,67,454
45,M,62,169,21.71,4892,90,445
37,F,72,177,22.98,4864,62,442
43,M,52,173,17.37,5022,82,457
29,M,52,180,16.05,5365,102,488
38,F,62,159,24.52,4995,104,454
27,M,52,177,16.6,5232,105,476
26,F,72,185,21.04,5350,100,486
59,M,62,183,18.51,5620,63,511
28,M,72,156,29.59,4943,76,449
26,M,72,174,23.78,5472,89,497
60,M,72,167,25.82,5940,89,540
43,M,62,173,20.72,4722,67,429
23,M,62,184,18.31,4608,101,419
49,F,62,157,25.15,4765,103,433
58,F,62,166,22.5,4587,91,417
36,M,72,171,24.62,5750,102,523
42,M,72,158,28.84,4914,69,447
29,F,52,155,21.64,5080,72,462
32,M,72,178,22.72,5962,84,542
48,M,52,178,16.41,4734,70,430
35,F,52,156,21.37,4651,104,423
26,F,62,165,22.77,5145,75,468
49,F,72,165,26.45,5182,76,471
37,M,72,183,21.5,5431,85,494
41,F,62,156,25.48,5206,75,473
30,F,62,168,21.97,5371,75,488
47,M,62,155,25.81,5846,82,531
31,M,52,175,16.98,5835,96,530
45,F,62,183,18.51,5338,90,485
41,F,52,179,16.23,4973,86,452
32,F,52,165,19.1,4709,65,428
22,M,72,176,23.24,5140,85,467
57,F,72,172,24.34,4680,96,425
30,F,62,185,18.12,5952,103,541
54,M,62,162,23.62,5489,92,499
37,M,62,160,24.22,5669,62,515
24,F,72,171,24.62,4700,64,427
50,M,72,165,26.45,4704,66,428
45,M,52,184,15.36,5392,78,490
56,M,72,161,27.78,5251,104,477
47,M,62,168,21.97,4507,80,410
41,F,62,161,23.92,5894,96,536
22,F,52,175,16.98,4519,90,411
27,M,52,166,18.87,5034,103,458
27,F,62,176,20.02,4961,97,451
21,F,72,171,24.62,5947,85,541
33,M,72,176,23.24,5597,85,509
50,F,52,173,17.37,4899,82,445
28,F,62,161,23.92,5180,63,471
55,M,62,169,21.71,4569,83,415
36,M,72,167,25.82,5107,96,464
52,M,62,184,18.31,4904,102,446
41,F,72,178,22.72,5917,74,538
57,M,72,158,28.84,5607,94,510
31,F,72,178,22.72,5184,100,471
38,M,62,179,19.35,5047,74,459
34,M,52,165,19.1,5965,81,542
22,M,72,157,29.21,4556,75,414
29,M,62,177,19.79,5435,94,494
53,M,52,158,20.83,5359,97,487
33,M,62,179,19.35,4699,93,427
28,M,72,157,29.21,5285,90,480
45,F,62,179,19.35,4842,71,440
45,F,62,172,20.96,5070,105,461
28,M,52,158,20.83,5145,79,468
25,M,72,180,22.22,5732,60,521
46,M,62,176,20.02,5853,105,532
29,F,62,179,19.35,5558,84,505
30,F,62,182,18.72,5399,88,491
34,M,62,185,18.12,5084,88,462
39,F,62,159,24.52,5892,98,536
35,M,72,166,26.13,5884,71,535
29,M,52,176,16.79,5538,76,503
29,F,52,171,17.78,5281,73,480
32,M,72,175,23.51,4937,102,449
37,F,62,182,18.72,4964,99,451
25,F,52,158,20.83,5533,88,503
55,M,62,160,24.22,5002,73,455
42,F,62,164,23.05,4997,100,454
38,M,62,185,18.12,5715,73,520
37,M,72,157,29.21,5364,75,488
39,M,52,185,15.19,4880,104,444
40,F,62,160,24.22,5245,86,477
31,F,62,171,21.2,5410,94,492
28,M,62,157,25.15,5662,69,515
36,M,72,158,28.84,5391,94,490
22,F,52,172,17.58,4670,100,425
24,F,72,172,24.34,5469,79,497
33,M,52,178,16.41,5353,65,487
38,M,72,181,21.98,5474,92,498
60,F,72,172,24.34,5001,98,455
45,F,62,155,25.81,5079,98,462
29,M,72,168,25.51,5637,100,512
38,F,52,181,15.87,4617,63,420
30,M,72,175,23.51,5343,103,486
25,F,72,175,23.51,5663,87,515
59,M,52,161,20.06,5837,90,531
46,F,62,164,23.05,5991,66,545
37,M,72,170,24.91,5192,70,472
57,F,72,162,27.43,4894,103,445
33,M,62,180,19.14,5579,84,507
24,M,62,180,19.14,5172,92,470
30,F,62,176,20.02,5264,73,479
28,M,52,158,20.83,4844,67,440
40,F,72,171,24.62,5496,66,500
44,F,52,166,18.87,4527,92,412
40,F,52,178,16.41,5630,90,512
37,M,72,177,22.98,5886,85,535
29,F,72,169,25.21,5358,105,487
32,F,72,185,21.04,5452,88,496
30,F,52,160,20.31,4750,62,432
59,F,72,166,26.13,4744,62,431
44,M,62,164,23.05,5427,105,493
60,F,62,172,20.96,5573,70,507
39,F,62,161,23.92,4689,65,426
43,M,52,169,18.21,4662,93,424
34,F,52,184,15.36,4719,71,429
34,F,72,177,22.98,5250,79,477
40,M,62,165,22.77,5410,71,492
27,M,72,159,28.48,4799,87,436
54,M,72,175,23.51,5717,103,520
25,M,52,178,16.41,5576,75,507
60,F,52,172,17.58,5179,105,471
36,M,62,163,23.34,4932,87,448
41,M,62,161,23.92,5362,62,487
35,M,62,169,21.71,5252,102,477
35,M,52,170,17.99,5275,92,480
41,F,62,163,23.34,5532,82,503
52,F,62,178,19.57,4961,99,451
33,M,62,159,24.52,5053,97,459
60,M,62,171,21.2,5468,97,497
25,F,72,180,22.22,5561,96,506
29,F,62,179,19.35,5474,101,498
60,F,72,180,22.22,5351,73,486
27,M,72,167,25.82,4756,87,432
54,M,72,165,26.45,4792,100,436
50,F,52,157,21.1,4945,93,450
54,M,72,170,24.91,4710,74,428
60,F,72,176,23.24,5682,94,517
45,M,52,157,21.1,5843,70,531
20,F,52,155,21.64,5329,96,484
58,F,52,171,17.78,5696,62,518
48,F,72,183,21.5,5236,69,476
53,F,62,159,24.52,5679,96,516
29,M,62,168,21.97,5784,74,526
60,M,72,158,28.84,5359,71,487
21,M,52,175,16.98,5753,105,523
45,M,52,171,17.78,4650,77,423
36,F,62,175,20.24,4562,60,415
46,F,52,161,20.06,5806,105,528
59,M,62,170,21.45,4852,93,441
30,F,72,165,26.45,5276,102,480
39,F,62,158,24.84,5283,77,480
24,M,72,183,21.5,4945,88,450
33,M,72,166,26.13,4949,68,450
30,F,52,184,15.36,5659,77,514
44,M,72,181,21.98,5684,61,517
25,M,72,184,21.27,5024,64,457
20,M,52,184,15.36,5885,92,535
45,F,62,167,22.23,5896,97,536
59,M,72,174,23.78,5954,82,541
23,F,52,160,20.31,5465,70,497
41,M,62,167,22.23,4755,64,432
46,F,62,184,18.31,4561,91,415
48,M,62,184,18.31,4894,85,445
39,M,52,160,20.31,4968,81,452
29,F,52,159,20.57,5404,81,491
28,F,72,157,29.21,5300,91,482
30,M,72,171,24.62,5687,65,517
44,F,72,181,21.98,5328,79,484
36,F,62,172,20.96,5213,103,474
45,F,72,179,22.47,5805,98,528
54,F,72,165,26.45,4917,78,447
22,M,72,169,25.21,5628,66,512
38,F,62,175,20.24,5227,83,475
55,F,52,185,15.19,5948,65,541
30,F,52,175,16.98,5532,98,503
31,F,62,160,24.22,4722,73,429
27,F,62,171,21.2,4585,87,417
37,F,72,184,21.27,5432,60,494
35,M,72,164,26.77,5718,94,520
36,F,72,181,21.98,5211,105,474
50,M,72,163,27.1,5004,97,455
29,F,72,158,28.84,5653,82,514
38,F,52,182,15.7,4690,98,426
39,F,62,177,19.79,5785,74,526
50,M,52,166,18.87,5909,101,537
35,F,72,181,21.98,4871,89,443
51,M,62,164,23.05,5980,76,544
29,M,52,167,18.65,4910,91,446
39,M,62,181,18.92,5067,65,461
50,F,72,171,24.62,5509,63,501
28,F,62,170,21.45,5371,83,488
39,M,52,178,16.41,4502,81,409
54,M,72,163,27.1,5802,89,527
31,M,72,163,27.1,5473,91,498
59,M,52,181,15.87,5967,64,542
21,M,62,176,20.02,5535,92,503
45,M,52,184,15.36,4875,103,443
31,M,52,172,17.58,4632,101,421
41,F,52,157,21.1,5045,100,459
38,F,62,180,19.14,4887,103,444
38,M,52,172,17.58,5167,61,470
22,M,72,180,22.22,5353,80,487
49,M,62,179,19.35,4967,82,452
58,F,72,155,29.97,4906,92,446
43,F,52,163,19.57,4915,105,447
49,F,62,168,21.97,5798,63,527
58,F,72,156,29.59,5676,66,516
60,M,62,181,18.92,5523,92,502
24,M,62,175,20.24,5700,100,518
21,F,62,162,23.62,5665,82,515
23,M,62,170,21.45,5881,70,535
48,F,62,172,20.96,4952,70,450
53,F,52,175,16.98,5066,97,461
23,F,72,159,28.48,4903,61,446
23,M,72,184,21.27,5114,89,465
55,F,62,156,25.48,5494,96,499
43,M,52,178,16.41,5541,94,504
51,M,62,175,20.24,5407,100,492
42,M,62,165,22.77,5081,78,462
55,F,72,184,21.27,4541,102,413
38,F,72,161,27.78,4874,81,443
23,F,52,170,17.99,4601,73,418
27,M,72,158,28.84,5215,77,474
36,M,52,168,18.42,5430,93,494
51,M,62,173,20.72,4992,76,454
21,M,52,184,15.36,5141,83,467
53,F,72,179,22.47,5061,72,460
34,M,52,181,15.87,5357,92,487
41,M,62,180,19.14,4845,95,440
26,F,62,170,21.45,4528,68,412
57,M,72,167,25.82,5661,89,515
53,F,52,168,18.42,5393,74,490
23,F,52,161,20.06,4690,100,426
55,F,62,181,18.92,5759,63,524
56,F,62,162,23.62,4625,90,420
41,M,72,185,21.04,5920,101,538
53,M,72,171,24.62,5604,65,509
27,F,62,156,25.48,4878,96,443
51,F,72,170,24.91,5758,77,523
46,F,62,185,18.12,5937,66,540
50,M,72,185,21.04,4975,85,452
24,M,72,167,25.82,5415,103,492
37,M,62,183,18.51,5788,66,526
43,M,62,182,18.72,5541,66,504
30,F,52,176,16.79,5115,62,465
54,F,72,163,27.1,5981,73,544
47,F,52,157,21.1,5380,69,489
29,F,72,170,24.91,4823,79,438
33,F,52,155,21.64,5031,88,457
27,M,62,179,19.35,5495,91,500
39,F,62,181,18.92,5507,83,501
55,M,72,156,29.59,5428,96,493
48,M,62,179,19.35,5747,87,522
40,F,62,169,21.71,4780,74,435
39,F,52,180,16.05,4591,65,417
23,F,52,172,17.58,5646,75,513
27,M,62,182,18.72,5462,86,497
30,F,52,175,16.98,5525,73,502
43,M,62,164,23.05,4603,77,418
38,F,72,174,23.78,5342,62,486
32,F,72,156,29.59,5779,99,525
52,F,62,184,18.31,5933,89,539
59,F,52,159,20.57,4892,104,445
31,F,72,166,26.13,4998,83,454
54,M,72,170,24.91,5964,71,542
37,F,72,164,26.77,4540,60,413
24,F,72,155,29.97,5758,79,523
46,M,52,175,16.98,5759,98,524
27,F,52,157,21.1,5545,80,504
37,F,72,171,24.62,4983,82,453
28,M,72,166,26.13,5265,82,479
43,F,72,183,21.5,4639,89,422
33,F,52,166,18.87,5953,104,541
47,M,72,155,29.97,5618,64,511
31,M,72,185,21.04,5941,66,540
32,F,72,178,22.72,4586,62,417
50,M,62,167,22.23,5151,98,468
32,F,62,167,22.23,4564,74,415
41,M,52,184,15.36,5184,93,471
44,F,62,185,18.12,5249,76,477
49,M,52,155,21.64,5394,81,490
33,M,72,161,27.78,4670,93,425
36,M,72,183,21.5,5239,79,476
52,F,52,183,15.53,5789,104,526
20,M,62,170,21.45,4537,61,412
25,M,72,168,25.51,4848,83,441
36,M,52,168,18.42,5618,84,511
53,M,62,165,22.77,4777,72,434
24,M,52,182,15.7,5730,62,521
39,F,72,158,28.84,5818,89,529
43,F,72,179,22.47,5235,100,476
60,F,52,157,21.1,5249,61,477
47,F,52,167,18.65,5493,92,499
36,M,62,167,22.23,5165,97,470
59,M,72,182,21.74,4541,88,413
50,M,62,163,23.34,5677,98,516
40,F,62,181,18.92,5366,74,488
47,F,62,180,19.14,5378,88,489
37,F,62,177,19.79,5684,92,517
41,M,72,180,22.22,5922,91,538
30,F,62,172,20.96,5391,63,490
26,F,72,174,23.78,5569,62,506
29,F,52,156,21.37,4741,71,431
30,F,72,183,21.5,4960,104,451
59,M,72,169,25.21,5905,97,537
32,F,62,179,19.35,4908,61,446
50,M,62,157,25.15,5854,97,532
32,M,72,170,24.91,4880,93,444
59,M,72,175,23.51,5193,104,472
58,F,72,166,26.13,4756,62,432
49,F,72,170,24.91,5049,90,459
56,M,72,174,23.78,4608,70,419
37,M,62,172,20.96,5657,61,514
56,F,62,169,21.71,5699,77,518
58,M,52,171,17.78,5750,103,523
51,F,72,162,27.43,4627,103,421
57,M,52,171,17.78,5474,99,498
36,M,62,166,22.5,5263,72,478
37,F,52,157,21.1,5782,101,526
20,F,72,161,27.78,5220,101,475
41,M,72,163,27.1,4905,84,446
58,F,62,172,20.96,5178,74,471
54,M,72,181,21.98,5630,94,512
56,F,52,155,21.64,5514,92,501
50,M,52,161,20.06,4825,66,439
25,M,52,172,17.58,5418,94,493
22,M,62,184,18.31,4761,75,433
42,F,62,168,21.97,5783,95,526
45,M,62,155,25.81,5221,102,475
34,M,52,172,17.58,4696,67,427
27,F,72,185,21.04,5685,95,517
46,M,52,164,19.33,5882,76,535
28,F,72,161,27.78,4766,76,433
58,M,72,161,27.78,5051,89,459
25,M,72,167,25.82,4965,66,451
26,F,62,165,22.77,4559,92,414
27,F,62,157,25.15,5461,64,496
51,M,52,165,19.1,5881,87,535
54,M,72,175,23.51,5709,101,519
60,M,72,169,25.21,4641,93,422
24,M,62,176,20.02,4975,103,452
36,M,62,175,20.24,5823,80,529
55,F,72,185,21.04,5001,73,455
51,F,62,167,22.23,4667,69,424
57,M,72,177,22.98,4669,63,424
32,F,72,163,27.1,5103,85,464
21,M,72,171,24.62,5669,96,515
35,F,52,170,17.99,5293,62,481
56,F,62,159,24.52,4512,104,410
20,F,72,184,21.27,4674,82,425
29,F,72,159,28.48,4543,98,413
24,F,62,158,24.84,5669,76,515
39,M,72,180,22.22,5551,94,505
35,F,52,158,20.83,4744,98,431
58,M,62,181,18.92,4848,101,441
52,M,62,177,19.79,5362,105,487
42,M,52,162,19.81,5753,62,523
25,F,62,156,25.48,4815,87,438
45,F,72,179,22.47,5062,70,460
46,F,52,165,19.1,5657,65,514
27,F,62,181,18.92,5772,73,525
54,M,52,176,16.79,5385,91,490
42,M,52,166,18.87,5041,62,458
24,M,72,179,22.47,5661,104,515
60,F,72,155,29.97,5792,60,527
36,F,72,162,27.43,5616,72,511
42,M,62,158,24.84,5773,74,525
28,F,72,165,26.45,4506,96,410
33,F,72,183,21.5,5440,94,495
22,F,72,166,26.13,4915,77,447
43,M,62,183,18.51,5631,82,512
35,F,62,156,25.48,4758,81,433
43,M,62,184,18.31,5341,89,486
49,F,72,178,22.72,5047,86,459
39,F,62,175,20.24,4643,95,422
49,F,72,164,26.77,5731,95,521
35,M,62,164,23.05,4632,98,421
32,F,52,168,18.42,5551,93,505
36,F,52,165,19.1,4599,101,418
32,M,62,162,23.62,5127,79,466
39,F,62,173,20.72,5424,75,493
44,F,62,163,23.34,4530,73,412
27,F,62,166,22.5,5401,77,491
23,M,52,156,21.37,5493,75,499
55,F,52,176,16.79,4874,76,443
34,F,52,162,19.81,4811,105,437
23,M,72,158,28.84,5490,77,499
24,M,62,172,20.96,4719,97,429
27,M,72,163,27.1,4567,76,415
47,M,72,160,28.13,5210,102,474
44,M,52,161,20.06,5375,102,489
48,F,72,185,21.04,5682,94,517
53,M,62,157,25.15,5594,72,509
49,M,62,166,22.5,4734,70,430
39,M,72,168,25.51,5295,102,481
44,F,62,157,25.15,5760,103,524
42,F,62,168,21.97,4694,97,427
35,F,62,176,20.02,5294,68,481
29,F,52,160,20.31,5065,100,460
22,M,62,157,25.15,4743,68,431
31,F,72,176,23.24,4544,86,413
35,M,52,184,15.36,5211,71,474
53,F,62,169,21.71,5986,82,544
50,F,62,176,20.02,5244,69,477
25,M,62,177,19.79,5011,97,456
27,M,62,166,22.5,4879,82,444
46,F,72,164,26.77,5522,80,502
56,M,52,176,16.79,4753,65,432
31,M,52,172,17.58,4642,77,422
20,F,72,175,23.51,5627,103,512
26,M,72,185,21.04,5704,88,519
42,F,52,157,21.1,5770,91,525
39,F,52,175,16.98,5107,81,464
27,M,52,168,18.42,5832,90,530
42,M,72,167,25.82,4669,60,424
37,M,52,160,20.31,5366,102,488
43,F,72,159,28.48,5481,66,498
37,F,52,177,16.6,5386,78,490
20,M,52,174,17.18,4610,97,419
41,M,62,172,20.96,5719,97,520
45,F,52,179,16.23,4628,90,421
54,F,52,158,20.83,4582,92,417
47,F,62,175,20.24,5165,82,470
46,F,62,167,22.23,4525,76,411
36,F,52,184,15.36,5724,79,520
25,F,72,178,22.72,5357,105,487
25,F,52,168,18.42,4834,65,439
41,M,72,182,21.74,5013,74,456
48,M,72,170,24.91,4616,83,420
39,M,52,158,20.83,5597,105,509
42,F,52,155,21.64,4837,73,440
53,M,72,184,21.27,5140,78,467
44,F,52,166,18.87,5240,68,476
44,F,72,165,26.45,4592,69,417
56,M,62,166,22.5,4836,62,440
57,F,72,155,29.97,5354,81,487
57,M,62,157,25.15,4886,85,444
60,F,52,156,21.37,5517,84,502
26,M,62,158,24.84,4530,102,412
55,F,72,167,25.82,5574,65,507
23,F,62,157,25.15,5869,100,534
55,F,72,179,22.47,5149,86,468
54,M,62,182,18.72,5782,84,526
25,M,62,165,22.77,4528,87,412
25,M,62,162,23.62,5821,84,529
60,M,72,161,27.78,4718,78,429
52,F,52,174,17.18,4642,67,422
33,M,72,179,22.47,5493,71,499
28,F,62,183,18.51,5519,94,502
43,F,52,161,20.06,5254,77,478
32,M,52,184,15.36,5221,105,475
56,F,62,168,21.97,4653,82,423
51,M,62,170,21.45,4673,68,425
31,M,72,159,28.48,5768,84,524
58,M,52,164,19.33,4508,98,410
59,M,52,156,21.37,5683,74,517
44,M,72,159,28.48,4753,100,432
55,M,62,177,19.79,5422,60,493
54,F,62,159,24.52,5175,76,470
48,M,72,177,22.98,5039,92,458
40,F,52,182,15.7,5092,95,463
27,F,72,156,29.59,4858,70,442
59,F,52,171,17.78,5671,97,516
39,M,72,171,24.62,5078,75,462
36,F,52,184,15.36,5705,70,519
35,F,62,157,25.15,4504,94,409
35,M,72,160,28.13,5309,60,483
39,F,52,160,20.31,5142,90,467
60,F,62,160,24.22,5436,104,494
41,F,72,164,26.77,4851,61,441
32,F,72,161,27.78,4614,60,419
59,M,52,182,15.7,4634,85,421
23,M,62,171,21.2,5544,65,504
52,M,52,171,17.78,5354,77,487
29,F,62,184,18.31,5827,99,530
38,F,72,155,29.97,5165,96,470
55,F,62,171,21.2,5084,80,462
27,F,62,162,23.62,5187,79,472
45,F,62,170,21.45,5782,82,526
46,M,52,177,16.6,5940,95,540
26,M,52,169,18.21,4842,72,440
41,M,72,169,25.21,5548,88,504
46,M,72,182,21.74,5880,100,535
